,Order Id,Mode,Order Category,Market,Symbol,Inst Type,Expiry,Opt Type,Strike,Filled Qty,Filled Price,Status,Exch Order Id,Trade Id,Parent Cl Code,Child Cl Code,Part Code,Time,GTD Date,Product,
,190720000000107,Sell,Single,NSECM,RELIANCE-EQ,Stock,,,,10,1304.25,FILLED,1300000000049907,75060290,N62861,N62861,,20Jul2019 10:47:05,,MIS,
,190720000000099,Buy,Single,NSECM,TCS-EQ,Stock,,,,10,2086.00,FILLED,1300000000048200,75058737,N62861,N62861,,20Jul2019 10:46:15,,MIS,
,190720000000088,Buy,Single,NSECM,RELINFRA-EQ,Stock,,,,10,42.00,FILLED,1300000000040273,75048393,N62861,N62861,,20Jul2019 10:41:15,,MIS,
,190720000000057,Sell,Single,NSECM,TCS-EQ,Stock,,,,10,2081.50,FILLED,1300000000025935,75029306,N62861,N62861,,20Jul2019 10:33:09,,MIS,
,190720000000055,Sell,Single,NSECM,RELIANCE-EQ,Stock,,,,10,1320.10,FILLED,1300000000025545,75028849,N62861,N62861,,20Jul2019 10:32:49,,MARGIN,
,190720000000054,Buy,Single,NSECM,RELIGARE-EQ,Stock,,,,9,34.20,FILLED,1300000000025383,75028540,N62861,N62861,,20Jul2019 10:32:42,,CNC,
,190720000000053,Sell,Single,NSECM,RELINFRA-EQ,Stock,,,,10,45.00,FILLED,1300000000025187,75028153,N62861,N62861,,20Jul2019 10:32:35,,MIS,
,190720000000028,Buy,Single,NSECDS,USDINR19AUGFUT,Future,28/08/2019,,,1,68.7225,FILLED,1000000000001088,562,N62861,N62861,,20Jul2019 10:25:14,,MIS,
,190720000000026,Buy,Single,NSECM,RELIGARE-EQ,Stock,,,,1,34.20,FILLED,1300000000012605,75012895,N62861,N62861,,20Jul2019 10:24:46,,NRML,
,190720000000023,Sell,Single,NSECM,RELIANCE-EQ,Stock,,,,1,1350.00,FILLED,1300000000012010,75012347,N62861,N62861,,20Jul2019 10:24:20,,NRML,
,190720000000024,Sell,Single,NSECM,RELIANCE-EQ,Stock,,,,1,1360.00,FILLED,1300000000012172,75012309,N62861,N62861,,20Jul2019 10:24:20,,MARGIN,
,190720000000021,Sell,Single,NSECM,RELIANCE-EQ,Stock,,,,1,1365.00,FILLED,1300000000011857,75011807,N62861,N62861,,20Jul2019 10:23:51,,MARGIN,
,190720000000019,Buy,Single,NSECM,TCS-EQ,Stock,,,,1,2250.00,FILLED,1300000000011376,75011321,N62861,N62861,,20Jul2019 10:23:30,,NRML,
,190720000000017,Buy,Single,NSECM,TCS-EQ,Stock,,,,1,2284.00,FILLED,1300000000010992,75010923,N62861,N62861,,20Jul2019 10:23:10,,CNC,
,190720000000016,Buy,Single,NSECM,TCS-EQ,Stock,,,,1,2284.00,FILLED,1300000000010760,75010551,N62861,N62861,,20Jul2019 10:22:50,,MARGIN,
,190720000000014,Buy,Single,NSECM,TCS-EQ,Stock,,,,1,2284.60,FILLED,1300000000009143,75009813,N62861,N62861,,20Jul2019 10:21:59,,NRML,
