*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*- Log Messages From NEST Server Finished *-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-
*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*- Log Messages From NEST Server Finished *-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-
01-Jun-2019,10:00:53  -- 01-Jun-2019 10:00:29  -- Trade confirmed:   LIMIT TradeQty:1 /1 of  ALUMINI19JULFUTat  145.00for CLI for  C26969 by C26969  NESTOrderNo: 190601000000027 Exchange:MCX ExchangeOrderNo:  241915200000007 Trade Id: 710000002 ExchTimeStamp: 01-Jun-2019 10:00:53
  -- 01Jun2019,10:05:06  --   MCX  LIMIT ORDER  status  Status:open   SELL   ALUMINI19JULFUT   Total QTY:1    Disc. QTY:0    Open QTY:1    Filled QTY:0    at 144.00 DAY  for CLI for C26969 by C26969    NESTOrderNo:190601000000041   RequestId:1        ExchangeOrderNo: 241915200000164   
  -- 01Jun2019,10:05:06  --   MCX  LIMIT ORDER  fill  Status:complete   SELL   ALUMINI19JULFUT   Total QTY:1    Disc. QTY:0    Open QTY:0    Filled QTY:1    at 144.00 DAY  for CLI for C26969 by C26969    NESTOrderNo:190601000000041   RequestId:1        ExchangeOrderNo: 241915200000164   
01-Jun-2019,10:05:31  -- 01-Jun-2019 10:05:06  -- Trade confirmed:   LIMIT TradeQty:1 /1 of  ALUMINI19JULFUTat  144.00for CLI for  C26969 by C26969  NESTOrderNo: 190601000000041 Exchange:MCX ExchangeOrderNo:  241915200000164 Trade Id: 710000010 ExchTimeStamp: 01-Jun-2019 10:05:31
  -- 01Jun2019,10:05:28  --   MCX  LIMIT ORDER  status  Status:open   SELL   ALUMINI19JULFUT   Total QTY:1    Disc. QTY:1    Open QTY:1    Filled QTY:0    at 147.00 DAY  for CLI for C26969 by C26969    NESTOrderNo:190601000000043   RequestId:1        ExchangeOrderNo: 241915200000174   
  -- 01Jun2019,10:05:28  --   MCX  LIMIT ORDER  fill  Status:complete   SELL   ALUMINI19JULFUT   Total QTY:1    Disc. QTY:0    Open QTY:0    Filled QTY:1    at 147.00 DAY  for CLI for C26969 by C26969    NESTOrderNo:190601000000043   RequestId:1        ExchangeOrderNo: 241915200000174   
01-Jun-2019,10:05:52  -- 01-Jun-2019 10:05:28  -- Trade confirmed:   LIMIT TradeQty:1 /1 of  ALUMINI19JULFUTat  147.00for CLI for  C26969 by C26969  NESTOrderNo: 190601000000043 Exchange:MCX ExchangeOrderNo:  241915200000174 Trade Id: 710000011 ExchTimeStamp: 01-Jun-2019 10:05:52
  -- 01Jun2019,10:05:49  --   MCX  LIMIT ORDER  status  Status:open   SELL   ALUMINI19JULFUT   Total QTY:1    Disc. QTY:0    Open QTY:1    Filled QTY:0    at 150.00 DAY  for CLI for C26969 by C26969    NESTOrderNo:190601000000045   RequestId:1        ExchangeOrderNo: 241915200000186   
  -- 01Jun2019,10:06:30  --   NCDEX  MARKET ORDER  status  Status:open   BUY   SUGARM19JUL2019   Total QTY:10    Disc. QTY:0    Open QTY:10    Filled QTY:0    at Market Price   0.00    DAY  for CLI for C26969 by C26969    NESTOrderNo:190601000000046   RequestId:1        ExchangeOrderNo: NA   
  -- 01Jun2019,10:06:30  --   NCDEX  MARKET ORDER  exch cancel  Status:cancelled   Reason:   Client is not registered with Firm   BUY   SUGARM19JUL2019   Total QTY:10    Disc. QTY:0    Open QTY:10    Filled QTY:0    at Market Price   0.00    DAY  for CLI for C26969 by C26969    NESTOrderNo:190601000000046   RequestId:1        ExchangeOrderNo: NA   
  -- 01Jun2019,10:07:48  --   MCX  LIMIT ORDER  status  Status:open   SELL   ALUMINI19JUNFUT   Total QTY:2    Disc. QTY:1    Open QTY:2    Filled QTY:0    at 151.00 DAY  for CLI for C26969 by C26969    NESTOrderNo:190601000000047   RequestId:1        ExchangeOrderNo: 241915200000203   
  -- 01Jun2019,10:08:12  --   MCX  SL ORDER  sl status  Status:trigger pending   SELL   ALUMINI19JUNFUT   Total QTY:2    Disc. QTY:1    Open QTY:2    Filled QTY:0    at 151.00 Trigger Price   152.00    DAY  for CLI for C26969 by C26969    NESTOrderNo:190601000000049   RequestId:1        ExchangeOrderNo: 241915200000207   
  -- 01Jun2019,10:08:12  --   MCX  LIMIT ORDER  trigger  Status:open   SELL   ALUMINI19JUNFUT   Total QTY:2    Disc. QTY:1    Open QTY:2    Filled QTY:0    at 151.00 DAY  for CLI for C26969 by C26969    NESTOrderNo:190601000000049   RequestId:1        ExchangeOrderNo: 241915200000207   
  -- 01Jun2019,10:08:39  --   MCX  SL-M ORDER  failure  Status:rejected   Rejection Reason:   RMS:Rule: Check Trigger price vs LTP for SL-M orders ,Trigger Price:151.00, LTP:145.60  for entity account-C26969 across exchange for  segment COM across product    SELL   ALUMINI19JUNFUT   Total QTY:2    Disc. QTY:0    Open QTY:2    Filled QTY:0    at Market Price   0.00    Trigger Price   151.00    DAY  for CLI for C26969 by C26969    NESTOrderNo:190601000000050   RequestId:1        ExchangeOrderNo: NA   
  -- 01Jun2019,10:09:44  --   MCX  LIMIT ORDER  failure  Status:rejected   Rejection Reason:   RMS:Rule: Check circuit limit including square off order exceeds  for entity account-C26969 across exchange for  segment COM across product    BUY   GOLDM19JUNFUT   Total QTY:100    Disc. QTY:0    Open QTY:100    Filled QTY:0    at 32500.00 DAY  for CLI for C26969 by C26969    NESTOrderNo:190601000000053   RequestId:1        ExchangeOrderNo: NA   
  -- 01Jun2019,10:10:30  --   MCX  LIMIT ORDER  status  Status:open   BUY   GOLDM19JUNFUT   Total QTY:100    Disc. QTY:0    Open QTY:100    Filled QTY:0    at 32000.00 DAY  for CLI for C26969 by C26969    NESTOrderNo:190601000000058   RequestId:1        ExchangeOrderNo: 241915200000240   
  -- 01Jun2019,10:10:30  --   MCX  LIMIT ORDER  fill  Status:complete   BUY   GOLDM19JUNFUT   Total QTY:100    Disc. QTY:0    Open QTY:0    Filled QTY:100    at 32000.00 DAY  for CLI for C26969 by C26969    NESTOrderNo:190601000000058   RequestId:1        ExchangeOrderNo: 241915200000240   
01-Jun-2019,10:10:55  -- 01-Jun-2019 10:10:30  -- Trade confirmed:   LIMIT TradeQty:100 /100 of  GOLDM19JUNFUTat  31458.00for CLI for  C26969 by C26969  NESTOrderNo: 190601000000058 Exchange:MCX ExchangeOrderNo:  241915200000240 Trade Id: 410000042 ExchTimeStamp: 01-Jun-2019 10:10:55
  -- 01Jun2019,10:11:08  --   MCX  LIMIT ORDER  status  Status:open   BUY   GOLDM19JUNFUT   Total QTY:100    Disc. QTY:0    Open QTY:100    Filled QTY:0    at 32000.00 DAY  for CLI for C26969 by C26969    NESTOrderNo:190601000000061   RequestId:1        ExchangeOrderNo: 241915200000242   
  -- 01Jun2019,10:11:08  --   MCX  LIMIT ORDER  fill  Status:complete   BUY   GOLDM19JUNFUT   Total QTY:100    Disc. QTY:0    Open QTY:0    Filled QTY:100    at 32000.00 DAY  for CLI for C26969 by C26969    NESTOrderNo:190601000000061   RequestId:1        ExchangeOrderNo: 241915200000242   
01-Jun-2019,10:11:32  -- 01-Jun-2019 10:11:08  -- Trade confirmed:   LIMIT TradeQty:100 /100 of  GOLDM19JUNFUTat  31458.00for CLI for  C26969 by C26969  NESTOrderNo: 190601000000061 Exchange:MCX ExchangeOrderNo:  241915200000242 Trade Id: 410000043 ExchTimeStamp: 01-Jun-2019 10:11:32
  -- 01Jun2019,10:11:25  --   MCX  LIMIT ORDER  status  Status:open   BUY   GOLDM19JUNFUT   Total QTY:100    Disc. QTY:0    Open QTY:100    Filled QTY:0    at 31458.00 DAY  for CLI for C26969 by C26969    NESTOrderNo:190601000000064   RequestId:1        ExchangeOrderNo: 241915200000264   
  -- 01Jun2019,10:11:25  --   MCX  LIMIT ORDER  fill  Status:complete   BUY   GOLDM19JUNFUT   Total QTY:100    Disc. QTY:0    Open QTY:0    Filled QTY:100    at 31458.00 DAY  for CLI for C26969 by C26969    NESTOrderNo:190601000000064   RequestId:1        ExchangeOrderNo: 241915200000264   
01-Jun-2019,10:11:50  -- 01-Jun-2019 10:11:25  -- Trade confirmed:   LIMIT TradeQty:100 /100 of  GOLDM19JUNFUTat  31458.00for CLI for  C26969 by C26969  NESTOrderNo: 190601000000064 Exchange:MCX ExchangeOrderNo:  241915200000264 Trade Id: 410000050 ExchTimeStamp: 01-Jun-2019 10:11:50
  -- 01Jun2019,10:12:30  --   MCX  SL ORDER  sl status  Status:trigger pending   BUY   GOLDM19JUNFUT   Total QTY:100    Disc. QTY:0    Open QTY:100    Filled QTY:0    at 31000.00 Trigger Price   30950.00    DAY  for CLI for C26969 by C26969    NESTOrderNo:190601000000069   RequestId:1        ExchangeOrderNo: 241915200000303   
  -- 01Jun2019,10:12:30  --   MCX  LIMIT ORDER  trigger  Status:open   BUY   GOLDM19JUNFUT   Total QTY:100    Disc. QTY:0    Open QTY:100    Filled QTY:0    at 31000.00 DAY  for CLI for C26969 by C26969    NESTOrderNo:190601000000069   RequestId:1        ExchangeOrderNo: 241915200000303   
  -- 01Jun2019,10:12:48  --   MCX  SL-M ORDER  sl status  Status:trigger pending   BUY   GOLDM19JUNFUT   Total QTY:100    Disc. QTY:0    Open QTY:100    Filled QTY:0    at Market Price   0.00    Trigger Price   31500.00    DAY  for CLI for C26969 by C26969    NESTOrderNo:190601000000071   RequestId:1        ExchangeOrderNo: 241915200000307   
  -- 01Jun2019,10:14:02  --   MCX  LIMIT ORDER  status  Status:open   BUY   GOLDM19JUNFUT   Total QTY:100    Disc. QTY:0    Open QTY:100    Filled QTY:0    at 31500.00 DAY  for CLI for C26969 by C26969    NESTOrderNo:190601000000078   RequestId:1        ExchangeOrderNo: 241915200000390   
  -- 01Jun2019,10:14:02  --   MCX  LIMIT ORDER  fill  Status:complete   BUY   GOLDM19JUNFUT   Total QTY:100    Disc. QTY:0    Open QTY:0    Filled QTY:100    at 31500.00 DAY  for CLI for C26969 by C26969    NESTOrderNo:190601000000078   RequestId:1        ExchangeOrderNo: 241915200000390   
01-Jun-2019,10:14:27  -- 01-Jun-2019 10:14:02  -- Trade confirmed:   LIMIT TradeQty:100 /100 of  GOLDM19JUNFUTat  31458.00for CLI for  C26969 by C26969  NESTOrderNo: 190601000000078 Exchange:MCX ExchangeOrderNo:  241915200000390 Trade Id: 410000097 ExchTimeStamp: 01-Jun-2019 10:14:27
