,Order Id,Mode,Order Category,Market,Symbol,Inst Type,Expiry,Opt Type,Strike,Filled Qty,Filled Price,Status,Exch Order Id,Trade Id,Parent Cl Code,Child Cl Code,Part Code,Time,GTD Date,Product,
,190803000000265,Buy,Single,BSECM,TATACOMM,Common Stock,,,,1,467.00,FILLED,1564806705747018675,68700,V69210,V69210,,03Aug2019 11:26:02,,MIS,
,190803000000101,Buy,Single,NCDEX,COCUDAKL20AUG2019,Future,20/08/2019,,,10,3300.00,FILLED,O0ewlsBdqaUI,T9urExUCDs,V69210,V69210,,03Aug2019 10:44:11,,NRML,
,190803000000155,Sell,Single,NCDEX,MOONG20AUG2019,Future,20/08/2019,,,5,6330.00,FILLED,O0ewlsATBLEQ,T9urExCcp9,V69210,V69210,,03Aug2019 10:49:37,,MIS,
,190803000000054,Buy,Single,NCDEX,DHANIYA20AUG2019,Future,20/08/2019,,,10,6403.00,FILLED,O0ewlsBdqZT7,T9urExUBUA,V69210,V69210,,03Aug2019 10:32:19,,NRML,
,190803000000054,Buy,Single,NCDEX,DHANIYA20AUG2019,Future,20/08/2019,,,20,6403.00,FILLED,O0ewlsBdqZT7,T9urExUBTS,V69210,V69210,,03Aug2019 10:31:26,,NRML,
,190803000000179,Sell,Single,NCDEX,MOONG20AUG2019,Future,20/08/2019,,,10,6330.00,FILLED,O0ewlsATBRjG,T9urExCeUP,V69210,V69210,,03Aug2019 11:11:16,,MARGIN,
,190803000000217,Buy,Single,MCX,ALUMINI19AUGFUT,Future,30/08/2019,,,10,145.65,FILLED,241921500052804,610000400,V69210,V69210,,03Aug2019 11:16:01,,NRML,
,190803000000070,Sell,Single,NCDEX,KAPAS29NOV2019,Future,29/11/2019,,,1,1138.50,FILLED,O0ewlsATBCIH,T9urExCZpA,V69210,V69210,,03Aug2019 10:18:48,,MIS,
,190803000000265,Buy,Single,BSECM,TATACOMM,Common Stock,,,,1,467.00,FILLED,1564806705747018675,91900,V69210,V69210,,03Aug2019 11:27:17,,MIS,
,190803000000265,Buy,Single,BSECM,TATACOMM,Common Stock,,,,1,467.00,FILLED,1564806705747018675,94700,V69210,V69210,,03Aug2019 11:27:26,,MIS,
,190803000000253,Buy,Single,BSECM,TATACOMM,Common Stock,,,,1,467.00,FILLED,1564806705747017116,19200,V69210,V69210,,03Aug2019 11:23:55,,MIS,
,190803000000054,Buy,Single,NCDEX,DHANIYA20AUG2019,Future,20/08/2019,,,10,6403.00,FILLED,O0ewlsBdqZT7,T9urExUBQF,V69210,V69210,,03Aug2019 10:28:04,,NRML,
,190803000000012,Buy,Single,NCDEX,COTTON18OCT2019,Future,18/10/2019,,,1,21040.00,FILLED,O0ewlsATBAGs,T9urExCZV9,V69210,V69210,,03Aug2019 09:50:11,,NRML,
,190803000000159,Buy,Single,NCDEX,MOONG20AUG2019,Future,20/08/2019,,,5,6330.00,FILLED,O0ewlsATBNiW,T9urExCdqr,V69210,V69210,,03Aug2019 10:54:04,,MIS,
,190803000000265,Buy,Single,BSECM,TATACOMM,Common Stock,,,,1,467.00,FILLED,1564806705747018675,87300,V69210,V69210,,03Aug2019 11:27:05,,MIS,
,190803000000265,Buy,Single,BSECM,TATACOMM,Common Stock,,,,1,467.00,FILLED,1564806705747018675,70500,V69210,V69210,,03Aug2019 11:26:08,,MIS,
,190803000000376,Buy,Single,NSEFO,NIFTY19AUGFUT,Future,29/08/2019,,,75,11500.80,FILLED,1100000000130898,31271718,V69210,V69210,,03Aug2019 12:00:02,,NRML,
,190803000000354,Sell,Single,NSECM,YESBANK-EQ,Common Stock,,,,1,91.00,FILLED,1300000000167346,75158965,V69210,V69210,,03Aug2019 11:52:34,,CNC,
